date,อ.เวียงแหง,อ.เชียงดาว,เขื่อนแม่งัด,ฝ่ายแม่แฝก,ฝายแม่แตง,อ.แม่ริม,สชป.1,อ.สันทราย(ปลายเหมืองแม่แฝก),อ.พร้าว(นาเม็ง),อ.สะเมิง,อ.จอมทอง,อ.แม่แจ่ม,อ.ฮอด,อ.อมก๋อย(P.64),อ.วังเหนือ,W.16A,เขื่อนกิ่วลม,อ.ปง,อ.เชียงม่วน,อ.งาว,ร้องกวาง,Y.20,Y.1C,อ.เฉลิมพระเกียรติ,อ.ทุ่งช้าง,อ.เชียงกลาง,อ.สองแคว,อ.ปัว,อ.ท่าวังผา,อ.สันติสุข,N. 1,เขื่อนแม่กวง,บ้านห้วยแก้ว,บ้านร้องวัวแดง,"อุตุ
  ลำพูน",อ.เวียงป่าเป้า,อ.แม่สรวย,ฝายแม่ลาว,"G .
  8",อ.แม่ทา,ทุ่งหลวง,ขุนวาง,บ้านสบวิน(P.82),อ.ลี้,อ.ทุ่งหัวช้าง,P.76,ฝายกวาง,"SW .
  5A",อ.ปาย,อ.แม่สะเรียง,อ.แม่ลาน้อย
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,3.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.5,0.0,0.0,2.1,0.0,10.2,19.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
2018-01-07,8.6,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,2.4,13.5,3.0,2.3,0.0,0.0,0.0,1.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0
2018-01-06,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.4,0.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6,2.3,1.5,0.4,1.5
2018-01-05,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.4,0.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.6,2.3,1.5,0.4,1.5
2018-01-04,3.9,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.4,2.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,*,0.0,0.0,0.0,11.2,0.9,0.0,0.0,10.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,20.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2017-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0
2017-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0
2017-12-28,13.7,26.0,15.6,12.3,15.0,19.5,11.4,16.5,14.6,11.5,22.5,16.3,0.0,0.0,22.4,23.7,17.0,28.0,25.0,20.0,*,17.5,5.2,38.6,51.9,32.4,36.0,24.9,36.7,12.5,27.9,14.5,12.5,14.0,12.4,13.0,25.8,2.6,31.2,17.8,23.4,32.0,22.2,13.0,12.4,1.5,33.4,14.0,11.0,2.9,10.0
2017-12-27,3.6,0.5,0.9,0.0,0.4,0.0,0.8,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.0,6.0,10.0,10.0,*,1.4,5.5,0.0,1.9,3.8,2.5,1.7,2.8,0.0,3.2,1.7,0.0,2.0,3.8,4.0,3.7,0.0,3.5,6.7,0.0,0.0,0.9,0.0,3.1,0.4,1.6,0.0,0.0,0.0,0.0
